timestamp,rpc-uni-directional(MiB/s),rpc_ff-uni-directional(MiB/s),rpc-bi-directional(MiB/s),rpc_ff-bi-directional(MiB/s),upcxx_version
1675640059.1418145,4.6133575936970646,4.624538882912042,4.636169832219227,4.716825219439625,upcxx-2022.9.0-0-g27b0fedf
1675642399.170617,4.613832311673798,4.624159320660339,4.653860576435211,4.708369903659491,upcxx-2022.9.0-0-g27b0fedf
1675645992.178991,4.6319781905103214,4.621364296815923,4.636589186486667,4.660950811330284,upcxx-2022.9.0-0-g27b0fedf
1675649568.8825474,4.633373506407327,4.621471252473032,4.678234219266293,4.718436083024892,upcxx-2022.9.0-0-g27b0fedf
1675653197.9778821,4.629309679488927,4.636173847098244,4.6597954931454595,4.702144359305417,upcxx-2022.9.0-0-g27b0fedf
1675656788.9585686,4.600751882617686,4.62015688394582,4.642981606398927,4.722655307720411,upcxx-2022.9.0-0-g27b0fedf
1675660376.1463542,4.619699458162547,4.609470612319907,4.630844679021343,4.698204972622307,upcxx-2022.9.0-0-g27b0fedf
1675663989.9685779,4.608636197760496,4.629040393849038,4.608799788134991,4.681173373560791,upcxx-2022.9.0-0-g27b0fedf
1675667589.4092155,4.615907987199794,4.623958059381113,4.64687697670958,4.693015142769598,upcxx-2022.9.0-0-g27b0fedf
1675671262.519681,4.632547381229166,4.6425258513506815,4.651895087867535,4.739616641810168,upcxx-2022.9.0-0-g27b0fedf
1675674787.7451346,4.576708674767381,4.617704711380334,4.658955318558207,4.715939865186983,upcxx-2022.9.0-0-g27b0fedf
1675678405.3809485,4.592138991016268,4.611237773671161,4.643646091861536,4.68440007132645,upcxx-2022.9.0-0-g27b0fedf
1675681968.2995632,4.601674383836627,4.620725129329637,4.630875161174849,4.694759587304161,upcxx-2022.9.0-0-g27b0fedf
1675685573.401577,4.613337493960362,4.623995222330262,4.622858249369317,4.692690086870123,upcxx-2022.9.0-0-g27b0fedf
1675689199.992604,4.587089940205535,4.602108846709113,4.621320676268153,4.67278479330156,upcxx-2022.9.0-0-g27b0fedf
1675692771.8781164,4.59343117690046,4.6071836384302935,4.6473927514117195,4.709978504132793,upcxx-2022.9.0-0-g27b0fedf
1675696408.76635,4.600553637301392,4.618273034386542,4.6413689945532965,4.697497859533018,upcxx-2022.9.0-0-g27b0fedf
1675699994.4788425,4.5985990249237565,4.617621965179364,4.643055707884893,4.718553170056553,upcxx-2022.9.0-0-g27b0fedf
1675703580.712493,4.618901196342301,4.63104988423706,4.664524455738902,4.700272669334964,upcxx-2022.9.0-0-g27b0fedf
1675707200.7110069,4.605600222948553,4.619478387432848,4.663964625044133,4.689132085724755,upcxx-2022.9.0-0-g27b0fedf
1675710809.4051433,4.608955836546597,4.622671915530798,4.6518970239250335,4.69951860591794,upcxx-2022.9.0-0-g27b0fedf
1675714434.6856432,4.595271300459412,4.604894265834433,4.634420838441222,4.733466107296988,upcxx-2022.9.0-0-g27b0fedf
1675717983.5492926,4.582710910946674,4.591607692211118,4.646077147341191,4.703867188908535,upcxx-2022.9.0-0-g27b0fedf
1675721569.8682148,4.584328962411214,4.602415966873088,4.5985508676335565,4.692817847882533,upcxx-2022.9.0-0-g27b0fedf
1675725175.9334884,4.611644724390368,4.624071602851519,4.6236957637180645,4.697409825247892,upcxx-2022.9.0-0-g27b0fedf
1675728799.6795962,4.583519557136111,4.60539232732787,4.618958636693153,4.668635610821637,upcxx-2022.9.0-0-g27b0fedf
1675732467.558151,4.589209889600499,4.614926730189202,4.608858580078402,4.68453657978791,upcxx-2022.9.0-0-g27b0fedf
1675736124.7591836,4.603125960743139,4.606181371609472,4.641959693496038,4.6977836300380895,upcxx-2022.9.0-0-g27b0fedf
