timestamp,rpc-uni-directional(MiB/s),rpc_ff-uni-directional(MiB/s),rpc-bi-directional(MiB/s),rpc_ff-bi-directional(MiB/s),upcxx_version
1675739680.6209395,4.579749308856862,4.600034721304785,4.640304502952171,4.668357956917772,upcxx-2022.9.0-0-g27b0fedf
1675743267.1270132,4.6104781044538345,4.626369114048906,4.641751652976988,4.700603350648244,upcxx-2022.9.0-0-g27b0fedf
1675746822.159985,4.598932695782928,4.626744699254119,4.6173013056930685,4.7118772164928355,upcxx-2022.9.0-0-g27b0fedf
1675750384.2699573,4.612601626661764,4.628969984843198,4.6787377470453935,4.6994006109164985,upcxx-2022.9.0-0-g27b0fedf
1675754014.4003394,4.6080315550134925,4.627331029695445,4.643769398533872,4.666149047977559,upcxx-2022.9.0-0-g27b0fedf
1675757689.5049875,4.621232383180102,4.628770941134151,4.65970327706488,4.674930916063887,upcxx-2022.9.0-0-g27b0fedf
1675761254.417022,4.599818686963538,4.617081108187738,4.652924819049001,4.687322912290913,upcxx-2022.9.0-0-g27b0fedf
1675764792.8026786,4.586404997744392,4.607065592130135,4.643581958553401,4.68239691220075,upcxx-2022.9.0-0-g27b0fedf
1675768476.84236,4.6145987996031845,4.6240313499267325,4.64320486053433,4.713293932041728,upcxx-2022.9.0-0-g27b0fedf
1675771965.9992366,4.601740667517882,4.619309380142327,4.687875723262309,4.715668306575548,upcxx-2022.9.0-0-g27b0fedf
1675775590.634766,4.612877061143052,4.6235449236147375,4.62631880612087,4.678297989241284,upcxx-2022.9.0-0-g27b0fedf
1675779187.4644148,4.593965781800772,4.610230978847048,4.641647595333828,4.685643227651097,upcxx-2022.9.0-0-g27b0fedf
1675782788.2640345,4.6078741027839145,4.618530262103898,4.661392380367843,4.6969414618669,upcxx-2022.9.0-0-g27b0fedf
1675786368.860464,4.594504148612583,4.607566531431801,4.64489135895262,4.6765198570792785,upcxx-2022.9.0-0-g27b0fedf
1675789964.1228845,4.612704405340076,4.6247986093141815,4.639939473106561,4.697900323663204,upcxx-2022.9.0-0-g27b0fedf
1675793652.384378,4.619897492013768,4.633915649577289,4.654292081580297,4.698432884347811,upcxx-2022.9.0-0-g27b0fedf
1675797272.726399,4.5950164693763424,4.615555537338368,4.6562697767530805,4.6881705651292815,upcxx-2022.9.0-0-g27b0fedf
1675800883.8234985,4.604389152968791,4.624687317018111,4.641575235800821,4.7055053570207885,upcxx-2022.9.0-0-g27b0fedf
1675804398.3086874,4.584930227950731,4.608252106351238,4.652546084509984,4.693868467182726,upcxx-2022.9.0-0-g27b0fedf
1675807987.9422946,4.596445340917125,4.6186650889403165,4.6569831454923865,4.689620480146521,upcxx-2022.9.0-0-g27b0fedf
1675811609.5662713,4.598369135219863,4.618195627125691,4.638630005459728,4.669624590530833,upcxx-2022.9.0-0-g27b0fedf
1675815205.7753932,4.615077431928795,4.624055089282425,4.618702707564977,4.708470191035968,upcxx-2022.9.0-0-g27b0fedf
1675819248.5406616,4.616814624791519,4.62245753273604,4.643684567300963,4.701048766288626,upcxx-2022.9.0-0-g27b0fedf
1675822613.9920554,4.597310072388739,4.604277906046374,4.616890179999394,4.685022094301332,upcxx-2022.9.0-0-g27b0fedf
1675826046.5965686,4.612764789714178,4.624774910567034,4.651148093985532,4.668702668369415,upcxx-2022.9.0-0-g27b0fedf
1675829851.0838618,4.610371602038536,4.635331918272112,4.654447049077736,4.698258916735236,upcxx-2022.9.0-0-g27b0fedf
1675833218.541299,4.6308152109057925,4.648676101344323,4.627122009641798,4.68897834986025,upcxx-2022.9.0-0-g27b0fedf
1675837217.1409776,4.582267956091818,4.6014754720724245,4.643400360590869,4.7130837791065305,upcxx-2022.9.0-0-g27b0fedf
1675839514.9383938,4.621482673365264,4.64910109474387,4.6568759756055025,4.7459822681443,upcxx-2022.9.0-0-g27b0fedf
