timestamp,log_10(bw),upcxx_version
1675640191.6203878,10.586810020372397,upcxx-2022.9.0-0-g27b0fedf
1675642501.1094756,10.496382978295241,upcxx-2022.9.0-0-g27b0fedf
1675646123.8878355,10.498692289373263,upcxx-2022.9.0-0-g27b0fedf
1675649669.2758107,10.620039187128821,upcxx-2022.9.0-0-g27b0fedf
1675653327.7524562,10.581172259336624,upcxx-2022.9.0-0-g27b0fedf
1675657232.0098765,10.584978790140038,upcxx-2022.9.0-0-g27b0fedf
1675660474.5797696,10.631774437492092,upcxx-2022.9.0-0-g27b0fedf
1675664094.2806554,10.60543326801337,upcxx-2022.9.0-0-g27b0fedf
1675667687.0575724,10.498214033179824,upcxx-2022.9.0-0-g27b0fedf
1675671392.9611912,10.501500182870624,upcxx-2022.9.0-0-g27b0fedf
1675674887.6285253,10.616037322407934,upcxx-2022.9.0-0-g27b0fedf
1675678534.4928336,10.499945383519416,upcxx-2022.9.0-0-g27b0fedf
1675682100.972277,10.57722171798232,upcxx-2022.9.0-0-g27b0fedf
1675685670.0958724,10.583563745433368,upcxx-2022.9.0-0-g27b0fedf
1675689299.1013944,10.515460537722914,upcxx-2022.9.0-0-g27b0fedf
1675692874.272795,10.607350994547172,upcxx-2022.9.0-0-g27b0fedf
1675696603.5929012,10.499843730221443,upcxx-2022.9.0-0-g27b0fedf
1675700097.4623306,10.59108019680501,upcxx-2022.9.0-0-g27b0fedf
1675703708.388281,10.59648383444965,upcxx-2022.9.0-0-g27b0fedf
1675707406.862212,10.484154575589349,upcxx-2022.9.0-0-g27b0fedf
1675710910.700133,10.592469890526306,upcxx-2022.9.0-0-g27b0fedf
1675714534.5308163,10.500336663954641,upcxx-2022.9.0-0-g27b0fedf
1675718084.7500713,10.501594607655901,upcxx-2022.9.0-0-g27b0fedf
1675721669.1843555,10.576127030027944,upcxx-2022.9.0-0-g27b0fedf
1675725276.4301708,10.594802339812576,upcxx-2022.9.0-0-g27b0fedf
1675728898.1555016,10.602705524373533,upcxx-2022.9.0-0-g27b0fedf
1675732563.1060104,10.591884537754096,upcxx-2022.9.0-0-g27b0fedf
1675736224.57679,10.594758176255622,upcxx-2022.9.0-0-g27b0fedf
1675739779.9906855,10.496324810887891,upcxx-2022.9.0-0-g27b0fedf
1675743366.93388,10.58017314401267,upcxx-2022.9.0-0-g27b0fedf
1675746952.5771954,10.577476863526773,upcxx-2022.9.0-0-g27b0fedf
1675750484.6707492,10.593457756662355,upcxx-2022.9.0-0-g27b0fedf
1675754175.1053267,10.592212299223895,upcxx-2022.9.0-0-g27b0fedf
1675757789.6962204,10.58983012599978,upcxx-2022.9.0-0-g27b0fedf
1675761390.6661177,10.576965272133737,upcxx-2022.9.0-0-g27b0fedf
1675764892.8106306,10.59397352486208,upcxx-2022.9.0-0-g27b0fedf
1675768577.1132786,10.476998187181064,upcxx-2022.9.0-0-g27b0fedf
1675772066.9893005,10.59513783615984,upcxx-2022.9.0-0-g27b0fedf
1675775693.0149007,10.501543976628168,upcxx-2022.9.0-0-g27b0fedf
1675779286.0279586,10.577321725314322,upcxx-2022.9.0-0-g27b0fedf
1675782887.2251413,10.627352540755897,upcxx-2022.9.0-0-g27b0fedf
1675786499.003707,10.594434541196037,upcxx-2022.9.0-0-g27b0fedf
1675790064.1397505,10.483868178246764,upcxx-2022.9.0-0-g27b0fedf
1675793816.7481725,10.500052505839015,upcxx-2022.9.0-0-g27b0fedf
1675797372.6304119,10.500652177288156,upcxx-2022.9.0-0-g27b0fedf
1675800983.4735005,10.48390095965289,upcxx-2022.9.0-0-g27b0fedf
1675804504.7129748,10.481754978848668,upcxx-2022.9.0-0-g27b0fedf
1675808087.2465744,10.588798144825716,upcxx-2022.9.0-0-g27b0fedf
1675811711.0695484,10.623317531311985,upcxx-2022.9.0-0-g27b0fedf
1675815496.412806,10.577035436045179,upcxx-2022.9.0-0-g27b0fedf
1675819990.5142677,10.578774404619244,upcxx-2022.9.0-0-g27b0fedf
1675822778.884402,10.497612364274934,upcxx-2022.9.0-0-g27b0fedf
1675826178.161708,10.597311170063527,upcxx-2022.9.0-0-g27b0fedf
1675830021.4964795,10.593916001681473,upcxx-2022.9.0-0-g27b0fedf
1675833316.707826,10.576314853978225,upcxx-2022.9.0-0-g27b0fedf
1675837352.45351,10.495720517139274,upcxx-2022.9.0-0-g27b0fedf
1675839612.5127225,10.622522790877133,upcxx-2022.9.0-0-g27b0fedf
