timestamp,rpc-uni-directional(MiB/s),rpc_ff-uni-directional(MiB/s),rpc-bi-directional(MiB/s),rpc_ff-bi-directional(MiB/s)
1667859477.9208245,4.048503952159827,4.025203425240258,4.136492264803839,4.165455039922168
1667862797.4306138,4.054995861529141,4.01742986952437,4.144113206151086,4.175050601778445
1667866648.0829892,4.059427087862753,4.0185507161222835,4.142620944704672,4.174829975311499
1667870879.3608675,4.039084803099952,4.02558437994668,4.13885508515332,4.169774327930621
1667873647.0269845,4.055913223916149,4.0227952836601615,4.140954049951056,4.1723168096996455
1667877227.1132927,4.044861050791634,4.022663395761672,4.142561522784965,4.168211591854024
1667881261.6120052,4.033701132808731,4.021383654057061,4.140218836111044,4.1727284148453005
1667884421.1890116,4.051287615272845,4.0260018173571765,4.125513795904116,4.155065658150255
1667888076.0415325,4.049027977258883,4.0163061227088654,4.139784664293701,4.171410488210482
1667891572.7813144,4.053458764992636,4.024604692408012,4.111477590787096,4.139794107428302
1667895380.6652298,4.035921793167103,4.017813532970407,4.13219883279573,4.161287126077228
1667898674.1257336,4.05577192349387,4.020928644176506,4.143114770210663,4.171269985303431
1667902291.8571966,4.045099905420859,4.01887933791856,4.137325621731216,4.167042490064892
1667905883.3734095,4.048581625417041,4.0296799710249385,4.139239762581561,4.170472942416178
1667909525.7796881,4.049729568350755,4.0268640684478125,4.136698376360481,4.167408911003665
1667913029.997892,4.050499625104355,4.02094105986232,4.128945025121707,4.159954997793828
1667916634.4741127,4.053147617626107,4.0274637734765735,4.1368283348966175,4.16697153416041
1667920243.2023106,4.012102941788021,3.9990165131384736,4.1098281860333525,4.135040373881932
1667923877.9538932,4.05043776144578,4.102982230518263,4.136378068606056,4.167978613112563
1667927510.865149,4.048173685748372,4.0272231750166165,4.141825894511075,4.168087745298685
1667931077.2916648,4.047784815205558,4.017630084043339,4.133880461597138,4.162412048174036
1667934711.13694,4.051121638186103,4.1013620854612896,4.1372338090663465,4.1703380036707065
1667938306.648075,4.0490745266822135,4.024612899806328,4.138135265113177,4.167045446309343
1667941895.5836926,4.053957671790348,4.023058939361545,4.140388611347741,4.173025928773911
1667945522.1422813,4.0573579573735365,4.026263534158018,4.1257576947940136,4.152768249791665
1667949320.4027634,4.051441955634972,4.0288639368428285,4.139891674464653,4.170900948757868
1667953104.3612256,4.048783510896164,4.021867096499461,4.123276554895218,4.151728294060473
1667956450.571095,4.050801084310092,4.026005907895339,4.132986108570981,4.162456865001865
1667960058.1555426,4.0560124886087605,4.023988695063164,4.1213299979360905,4.151945667098375
1667963591.1635425,4.042819562241122,4.0227087367445185,4.142289329046245,4.171240708142195
1667967091.9944315,4.054494315849015,4.022552084185014,4.134737948145543,4.160036122383796
1667970704.4589338,4.055129764292919,4.106000405288851,4.137841311391328,4.1699887283541175
1667974583.4736025,4.050217300517707,4.022350001387847,4.1262872965216175,4.15511731664473
1667977890.0116026,4.051758182006797,4.017338073680269,4.140240847756518,4.169142259005337
1667981555.721525,4.047757581223123,4.0239188268766,4.141424687074103,4.172731332638029
1667985112.6336036,4.009973264703064,3.9832247286510643,4.107782995877346,4.136152760280131
1667988807.458186,4.051935476526187,4.02022450807899,4.137619924588398,4.167783876774839
1667992380.8328605,4.05309381646733,4.107667773231807,4.1382995396494735,4.1694040177342
1667995924.525305,4.0522051337376865,4.020883116958222,4.124918107130456,4.154633917590823
1667999582.779217,4.045545937630668,4.02088725599347,4.135479312241418,4.159121843199987
1668003228.3059812,4.047757581223123,4.026018179278662,4.139290186816663,4.172547473400609
1668006749.3660069,4.052959284403869,4.025400088751118,4.135472953983015,4.1675329512640085
1668010349.7348516,4.0532859328662125,4.019216021268524,4.138978092861743,4.170126710993405
1668013935.8962245,4.029752973963738,4.073370042138256,4.122756361358927,4.149339220051181
1668017535.0085278,4.051040556549155,4.022708736744519,4.141988779219783,4.1709888430493
1668021151.813906,4.053232148840502,4.022820008182821,4.135415725468063,4.168255814209078
1668024774.4989386,4.048965903598875,4.027113026164992,4.141004275550754,4.171533390977501
1668028262.5567029,4.052805482427245,4.028437039841143,4.137632578303472,4.170214762102096
1668032241.8684485,4.0450294373885916,4.024994372634962,4.141546969230502,4.171559722760281
1668035530.5018015,4.0590822848865376,4.016590467267158,4.133245021512458,4.170188348643891
1668039202.9040868,4.0492645517292285,4.020282538914461,4.14119256983438,4.171550945676747
1668042691.4584165,4.043582317210356,4.0255106728525805,4.117794785585112,4.14413190491964
1668046277.8609276,4.052255194504678,4.0213092305085025,4.1365303235313,4.167083875656132
1668049904.4501677,4.046385894116016,4.0172086920495484,4.1420107013428265,4.173171694527412
1668053452.1513374,4.044657333234866,4.028050437781489,4.142886680107691,4.1723168096996455
1668057052.5176358,4.047278762384488,4.0251460482702734,4.142186038501852,4.173730980815984
1668060895.4783385,4.048996941537902,4.021656431338636,4.142232991794714,4.17464700258121
1668064404.7185788,4.056455085638042,4.0234129748464165,4.13924606593113,4.171214357009491
1668067900.4491663,4.052185878059916,4.025268989639489,4.140859861292962,4.170449477819804
1668071497.5383039,4.0477264545804355,4.1134085068181765,4.1384826956636935,4.168983362166183
1668075144.4096756,4.051623235500562,4.0256621683106415,4.143327129992047,4.174161606288061
1668078744.353401,4.008007935460325,3.9943536723519593,4.104637312986588,4.126303531768661
1668082244.3495152,4.0519701561201735,4.0231577689980185,4.1385616184051255,4.1698888837909305
1668085845.4834638,4.05556179732798,4.111722783172441,4.1208436364387735,4.150080686233493
1668089450.9339266,4.048876657166098,4.026778328659529,4.1416974230960415,4.1721912070627685
1668093142.478219,4.051094612655724,4.014806054408803,4.1365398376920615,4.166296874240488
1668096750.7061465,4.050650380863913,4.027850897895531,4.140850441303549,4.1722116564792255
1668100363.809326,4.0485971584016065,4.100549740786547,4.133905987497736,4.162412048174036
1668104790.2215698,4.048119264829371,4.022411873455922,4.137778069533995,4.167311425939519
1668108171.848381,4.04917148862561,4.021739057306924,4.079398339019855,4.096475501234038
1668111076.7415824,4.052824710653293,4.113351640755603,4.1234236664252375,4.149779329867439
1668114708.5261967,4.056485592951115,4.0221560784750965,4.141675485153376,4.173733891880797
1668118259.1571171,4.046311730806938,4.022403624356117,4.1408096189881975,4.171662108963595
1668121939.1782124,4.0424022325706135,4.017784353096678,4.130063456711654,4.158045703525655
1668125517.9367476,4.051229723493163,4.016623907332,4.076075821605072,4.090586031304527
1668129040.844918,4.0546934720151135,4.02258094548151,4.140237703304039,4.171703056687279
1668132633.8250782,4.043515531383386,4.025395992502851,4.141082741423734,4.17169428250007
1668136296.948581,4.0428313676246574,4.020560150612063,4.140677705277257,4.157571597700313
1668140082.622336,4.045721876952982,4.019137069590252,4.141565778814372,4.171820028914312
1668143621.2337928,4.042477066450445,4.020684396862371,4.12712748479743,4.150664353529561
1668147183.5519805,4.056733385459967,4.0176551043695365,4.139583161826357,4.172979273398034
1668150682.3612835,4.047286552280308,4.025915907154608,4.1403980413596155,4.1722700780782125
1668154373.050684,4.0476875431396095,4.019602262029342,4.1411894322652,4.170660613561281
1668157969.6274288,4.052066473798159,4.1090923509600685,4.1355047443441935,4.170959546928602
1668161663.4098835,4.044802295917983,4.026933464452194,4.1316186643491255,4.168683064981379
1668165064.8946366,4.046346862374151,4.02353229386525,4.138889783162868,4.167689427715593
1668168635.4048052,4.035105397258496,4.021189299069938,4.13424087594659,4.165125569088229
1668172257.3368564,4.044539760392412,4.015967175025232,4.1356827273756025,4.164855275792221
1668175865.0393345,4.046916377831505,4.025924089810885,4.134572320618351,4.149966933399761
1668179479.455618,4.023170121121397,4.026283974142487,4.1364764060163255,4.170804244487251
1668183141.267794,4.021441530223182,4.007653912468717,4.112554733060429,4.136552522915529
1668186676.533358,4.047847057896036,4.022646906957838,4.142267420983491,4.1709243889749485
1668190258.2862525,4.0514110919502135,4.028530586511328,4.137550322564531,4.160213341916792
1668287495.4706664,4.049892206607897,4.025100961046814,4.140991719695369,4.173562105661666
1668291040.000975,4.0476408448081775,4.024181801574228,4.139649290129624,4.173259130501515
1668294689.694549,4.050406826311583,4.021846447569863,4.139258672355813,4.121556561525948
1668298240.778223,4.028498050824471,4.024793423338763,4.142236121833754,4.169762576902915
1668301957.0749393,4.053957671790348,4.024662140939282,4.140127633121608,4.169474577357735
1668305511.010466,4.048014290938053,4.027793869656287,4.12466721769861,4.154061656336847
