timestamp,duration (s)
1666003714.999617,0.00471622
1666004433.5899036,0.00434018
1666005228.958934,0.00436834
1666006091.2265508,0.00433323
1666006812.0758908,0.00436649
1666008559.7970376,0.00435445
1666011146.561483,0.00439098
1666168141.0111177,0.00434385
1666168869.421288,0.00436419
1666171302.2872953,0.00433979
1666436467.4522898,0.00437998
1666437494.4194384,0.00434763
1666453717.468245,0.00435746
1666476885.0684097,0.00433671
1666480474.3767488,0.00435448
1666483959.0008464,0.00435113
1666487605.7047849,0.00437089
1666491248.2041707,0.00433311
1666494770.8524268,0.00438448
1666498363.4775558,0.00436328
1666501948.7242827,0.00438221
1666506069.3139913,0.00437232
1666517107.7050574,0.00433262
1666520034.688435,0.00434347
1666523613.2813234,0.00436906
1666527188.2921634,0.00432188
1666530788.5767055,0.00466223
1666534369.26866,0.0043806
1666538000.7199664,0.00438738
1666631555.606033,0.00439059
1666635179.186651,0.00438423
1666638765.0575345,0.0043560000000000005
1666642440.5030904,0.00447893
1666645948.414116,0.00442924
1666649600.8488426,0.00432907
1666653218.317309,0.00433959
1666656776.9424832,0.00437882
1666660465.894254,0.0044519
1666663977.0385668,0.00432342
1666667610.4310825,0.00435515
1666671173.649826,0.00434684
1666674757.6733437,0.00432999
1666678417.6318974,0.00434259
1666682079.36908,0.00439795
1666685597.3552635,0.00433707
1666689195.0557294,0.00432892
1666692833.6619804,0.00433336
1666696379.2014892,0.00435634
1666699973.8059356,0.00431661
1666703609.4089918,0.00433113
1666707269.1806822,0.00432411
1666710939.7219448,0.00437651
1666714559.3819516,0.00437837
1666718382.1493134,0.00452181
1666721744.0629725,0.00440136
1666725420.1535795,0.00439586
1666729032.6404195,0.00438597
1666732487.508693,0.00431672
1666736113.6054726,0.00434064
1666740609.3527102,0.00432942
1666743224.7111096,0.00436279
1666746886.028307,0.00430599
1666750450.5511427,0.00436038
1666753991.0061793,0.00436579
1666757650.1916552,0.00433022
1666761330.0613275,0.00437405
1666764867.4504313,0.00437735
1666768367.0295086,0.00434864
1666772794.7952018,0.00439239
1666776488.605949,0.0044003
1666779489.5370305,0.00434825
1666782887.3027778,0.00437565
1666786424.8067858,0.00438589
1666789972.4367664,0.00433463
1666793568.261968,0.00476085
1666797164.6188738,0.00469131
1666804482.2522798,0.00438237
1666807987.998209,0.00434464
1666811704.2378867,0.00430279
1666815653.6573894,0.00436555
1666818929.3489,0.00431786
1666822408.9754825,0.0043457
1666826039.6653516,0.00444537
1666829626.3041027,0.00436252
1666833215.5845287,0.00435773
1666836780.0685446,0.00438883
1666840391.640859,0.00436615
1666844001.4770436,0.00439391
1666847613.8381033,0.00434607
1666851163.3491154,0.00432825
1666854761.9696867,0.00435072
1666858359.581459,0.0043621
1666862023.7772474,0.00435098
1666865594.3527439,0.00441014
1666869161.0845113,0.00433977
1666872762.7843294,0.00436249
1666876366.333127,0.00438545
1666879962.4740286,0.00438003
1666883699.0737164,0.00435011
1666887321.9478295,0.00434686
1666890960.8288345,0.00433839
1666894512.689565,0.00438536
1666898046.4463453,0.00433185
1666901659.1126163,0.00432665
1666905280.6884284,0.00435323
1666909164.7871294,0.00445899
1666912589.567672,0.00432516
1666916238.6693876,0.00436107
1666919906.308307,0.00437251
1666923474.0645561,0.00436607
1666927033.7936625,0.00441751
1666930673.523654,0.00436372
1666934147.3998158,0.00433905
1666937658.0814645,0.00434007
1666941342.3486671,0.00442126
1666945059.4042127,0.00432486
1666948568.9252613,0.00430842
1666952021.353382,0.00437663
1666955654.8775196,0.00435142
1666959224.6484144,0.00442451
1666962731.3100972,0.00438489
1666966365.32655,0.00444036
1666969994.97402,0.00438266
1666973587.3647494,0.00440379
1666977330.7620866,0.00449271
1666980945.5861723,0.00478435
1666984517.7213778,0.00465248
1666988100.4895716,0.00469926
1666992107.7312427,0.00432734
1666996775.358861,0.00435873
1666998830.0462232,0.00448179
1667002861.2691164,0.00431692
1667006034.2105393,0.00436024
1667009617.8636675,0.00438602
1667013149.8780124,0.00442096
1667016779.4808586,0.00441339
1667020532.2486038,0.00435569
1667024046.1932724,0.00434745
1667027777.6293232,0.00437531
1667031355.2587993,0.00441607
1667034956.1048124,0.00436179
1667038482.6369731,0.00434512
1667041960.2530096,0.00439761
1667045744.7492025,0.00435405
1667049255.6574333,0.00432276
1667053065.533375,0.0043349
1667056510.2695212,0.00439219
1667060248.8264859,0.00461988
1667065170.0528927,0.00436021
1667078664.4911358,0.0044093000000000005
1667082036.7175488,0.00435505
1667097651.2982535,0.00441146
1667100658.2880785,0.00432752
1667104338.6883695,0.00436567
1667108049.7917812,0.00433352
1667111082.5702252,0.00431349
1667115686.4015605,0.00434782
1667118097.0398028,0.00448185
1667121588.425292,0.00453066
1667125197.5485,0.0042999
1667128474.2786784,0.00434366
1667132029.155513,0.00433061
1667135633.5458102,0.00438251
1667139318.3761506,0.0044262
1667142933.4793985,0.00436105
1667146436.427634,0.00437369
1667149974.571425,0.00431773
1667153568.297338,0.00466333
1667157161.6304743,0.00434405
1667160868.351619,0.00431048
1667164526.6116707,0.00441454
1667167965.623551,0.00436558
1667171546.9858556,0.00434761
1667175123.9401786,0.00435602
1667178727.1747072,0.00437983
1667182358.0508866,0.00436196
1667185998.1854556,0.00439774
1667189548.3538835,0.00435535
1667193161.5804722,0.00440602
1667196997.826043,0.00435112
1667200511.515765,0.0043527
1667205022.3366125,0.004356100000000001
1667207563.7088506,0.00434298
1667211148.2614179,0.00441806
1667214761.358667,0.00438197
1667218490.5593562,0.00444801
1667222090.7132025,0.00434551
1667225761.001554,0.00433635
