timestamp,total duration (s)
1666168103.9232464,0.003261
1666168832.4610605,0.0032840000000000005
1666171264.0834816,0.003272
1666436343.3967884,0.0032770000000000004
1666437372.8927069,0.003251
1666441733.0453491,0.003266
1666453575.1681373,0.003278
1666476733.6801052,0.00325
1666480321.3889096,0.003272
1666483837.1737776,0.0032869999999999996
1666487477.8051198,0.003201
1666491088.5719762,0.0032719999999999997
1666494651.1872418,0.0032670000000000004
1666498239.4192286,0.0032689999999999998
1666501836.5358658,0.0032890000000000003
1666505888.5299404,0.0032689999999999998
1666516986.8175511,0.003233
1666519908.0330908,0.003268
1666523500.769803,0.003274
1666527076.5821486,0.003276
1666530665.9502482,0.003265
1666534254.2375119,0.003196
1666537853.6642973,0.003265
1666631437.8915052,0.003239
1666635064.1724567,0.003235
1666638640.5984714,0.0032530000000000002
1666642322.635702,0.003194
1666645838.0075464,0.0032670000000000004
1666649480.6707985,0.003701
1666653079.532753,0.00324
1666656649.997017,0.003232
1666660331.5630937,0.003286
1666663857.8276205,0.003268
1666667485.1038625,0.0035659999999999997
1666671051.9060292,0.003247
1666674636.0437567,0.0032689999999999998
1666678301.2509036,0.003254
1666681953.6149476,0.0032409999999999995
1666685483.375108,0.003249
1666689074.9470925,0.003252
1666692714.1258075,0.0032700000000000003
1666696265.7778506,0.0032909999999999997
1666699856.1853638,0.00324
1666703483.3965075,0.003276
1666707151.3453429,0.003247
1666710826.6214886,0.003239
1666714429.088641,0.0032770000000000004
1666718248.3317533,0.0032689999999999998
1666721605.4465892,0.003264
1666725258.5688026,0.0032619999999999997
1666728812.4820757,0.003269
1666732357.682547,0.003268
1666735925.4851825,0.0032450000000000005
1666740492.2466931,0.003247
1666743090.0166874,0.003266
1666746746.18777,0.00324
1666750323.2742615,0.00324
1666753869.756852,0.00324
1666757522.4622815,0.00321
1666761206.9244967,0.0032630000000000003
1666764735.4815676,0.003273
1666768247.0487998,0.003268
1666772666.3102045,0.003247
1666776336.410191,0.0032719999999999997
1666779354.3895755,0.003262
1666782759.7895298,0.003273
1666786294.9799492,0.0032630000000000003
1666789852.8138368,0.0032
1666793444.8655715,0.003275
1666797038.7711265,0.003254
1666804354.9501336,0.003255
1666807860.0121448,0.003193
1666811536.5294352,0.003296
1666815304.6822824,0.003276
1666818800.8817651,0.0032700000000000003
1666822279.9123807,0.003247
1666825915.1931245,0.003281
1666829508.7707472,0.0032329999999999998
1666833078.8604047,0.00324
1666836664.061049,0.003285
1666840268.0416148,0.003287
1666843870.0555074,0.003275
1666847489.0001874,0.003279
1666851044.2706447,0.0037259999999999997
1666854641.6958141,0.003246
1666858244.5863874,0.0032700000000000003
1666861905.8099384,0.003247
1666865475.249025,0.0032619999999999997
1666869043.1076033,0.003272
1666872646.969986,0.00328
1666876250.1639106,0.003268
1666879846.3501804,0.003271
1666883521.6102278,0.003249
1666887198.5192974,0.003258
1666890828.9542305,0.003264
1666894378.8544438,0.003296
1666897930.6039455,0.003272
1666901527.9688716,0.003276
1666905136.1666489,0.003265
1666909032.7548485,0.00324
1666912466.35726,0.003264
1666916105.081067,0.0032630000000000003
1666919775.9932349,0.003218
1666923334.8569381,0.003273
1666926901.770086,0.003268
1666930552.6421974,0.0032719999999999997
1666934018.5286324,0.003248
1666937526.5803635,0.003261
1666941182.3334332,0.0032240000000000003
1666944932.5870428,0.0032719999999999997
1666948441.0335224,0.003273
1666951894.303429,0.003201
1666955530.8192801,0.003272
1666959092.891359,0.003703
1666962606.3381984,0.003187
1666966249.4550734,0.0032479999999999996
1666969845.3533785,0.00319
1666973465.5546243,0.0032229999999999997
1666977214.4535394,0.00324
1666980785.6447015,0.003266
1666984391.9672384,0.003274
1666987985.446416,0.004918
1666991979.019241,0.003247
1666996103.4418886,0.00324
1666998712.9720027,0.00324
1667002690.8488965,0.00323
1667005913.4344642,0.00328
1667009497.6589766,0.0032719999999999997
1667013032.809479,0.003276
1667016659.1214662,0.003266
1667020408.9375038,0.003266
1667023916.8185036,0.0032630000000000003
1667027652.7834432,0.003254
1667031186.3621655,0.003286
1667034830.6612911,0.00324
1667038365.2737648,0.003242
1667041840.5094182,0.003273
1667045619.8077705,0.003266
1667049072.988469,0.003262
1667052920.9787302,0.00324
1667056375.4938505,0.003271
1667060038.785119,0.0032670000000000004
1667065041.7804766,0.003265
1667078310.1339586,0.0032700000000000003
1667081631.4620268,0.003244
1667097427.5447342,0.003574000000000001
1667100527.6568036,0.003725
1667104125.1680572,0.00325
1667107852.5493224,0.003708
1667110864.834425,0.003439
1667115391.9933033,0.003266
1667117895.4941466,0.003325
1667121394.4720287,0.003271
1667125025.5607786,0.003207
1667128363.051022,0.003253
1667131916.0217385,0.003297
1667135505.6585932,0.003629
1667139194.3298366,0.003285
1667142816.389442,0.003271
1667146322.5929506,0.0032600000000000003
1667149859.9546494,0.003283
1667153453.6716912,0.0032329999999999998
1667157046.926909,0.003296
1667160720.6315033,0.0032630000000000003
1667164379.9077148,0.003272
1667167850.4700673,0.0035
1667171425.4054768,0.003279
1667175010.0334196,0.0032719999999999997
1667178613.7695007,0.003269
1667182246.8306296,0.003268
1667185880.7643723,0.0032770000000000004
1667189430.9991438,0.003278
1667193049.9667573,0.0032670000000000004
1667196886.6143534,0.00329
1667200334.2177346,0.003222
1667204882.0981247,0.0032869999999999996
1667207449.7386186,0.003244
1667211036.167025,0.003256
1667214647.4251986,0.003264
1667218363.9780366,0.003264
1667221970.7315974,0.00324
1667225639.3763905,0.0032840000000000005
1667229389.0551558,0.003258
1667233299.6261823,0.003273
1667236411.1585822,0.003187
1667239873.6339848,0.0033829999999999997
1667243578.6108313,0.003242
1667247416.2539132,0.003256
1667250830.5969298,0.0032
1667254414.5911438,0.0032770000000000004
1667258534.5469427,0.00324
1667261975.3915145,0.0032840000000000005
1667265047.9019346,0.00324
1667268660.851779,0.0032670000000000004
1667272278.5368989,0.003242
1667276016.406719,0.003247
1667279507.776862,0.003248
1667283147.2126904,0.003232
1667286689.3361301,0.003237
1667290278.799643,0.003273
1667293887.087508,0.003275
1667297454.5104065,0.003264
1667301041.9431686,0.003269
1667304657.425472,0.0032409999999999995
1667308250.07571,0.003242
1667311878.3413868,0.003218
1667315472.355035,0.003211
1667319114.4821815,0.0031940000000000002
1667323059.841746,0.0032
1667326615.2148993,0.003237
1667330632.9527798,0.003254
1667334157.2810574,0.003246
1667338009.7426805,0.0032409999999999995
1667340853.4410155,0.003258
1667344355.0717347,0.003274
1667348072.8436875,0.00324
1667351561.2896404,0.0032600000000000003
1667358776.0218232,0.0032700000000000003
1667362386.46761,0.00324
1667365930.0215006,0.003276
1667369821.78343,0.003264
1667373328.9417222,0.003271
1667376711.1741016,0.003272
1667380348.1259663,0.0032719999999999997
1667383935.7696269,0.003248
1667387646.8894696,0.003281
1667391105.870501,0.003283
1667394751.5169852,0.0031940000000000002
1667398287.6535387,0.003252
1667401928.1260324,0.0032329999999999998
1667405592.9876404,0.003553
1667409130.8831048,0.003259
1667412762.943729,0.00324
1667416408.369886,0.003276
1667419989.9111366,0.003247
1667423589.769718,0.003286
1667427317.0343235,0.0032670000000000004
1667430810.1419165,0.003193
1667434415.369299,0.0032450000000000005
1667437987.7929125,0.00324
1667441562.438198,0.003269
1667445193.7390947,0.0032530000000000002
